,rowID,file_path,pdf_page_number,scraped_table_number,pdf_table_number,genus_name,species_name,seed_type,seed_source,medium,pregermination_treatment_time_minutes,pregermination_treatment_hot_water_soak_C,pretreatment,stratification_temp_C,warm_stratification_days,cold_stratification_days,dailyl_light_hours,day_temp_celsius,night_temp_celsius,dark_range,test_duration_in_days,germination_time_days,total_germination_percent,avg_germination_percent,samples,germination_rate,avg_germinative_energy_percent,germinative_energy_percent,avg_germinative_capacity,germinative_capacity,percent_germination_15degC_incubated,percent_germination_20degC_incubated,genus_ID,pretreatmentFeces,pretreatmentChill,pretreatmentChillDuration,pretreatmentScarifType,pretreatmentScarifTypeGen
11,11,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,negundo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24 to 60,14 to 48,24 to 96,#N/A,#N/A,14 to 67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
12,12,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,pensylvanicum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,#N/A,90,#N/A,82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
13,13,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,pensylvanicum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,23,#N/A,60,#N/A,76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
14,14,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,platanoides,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4 to 10,4 to 10,#N/A,#N/A,#N/A,30 to 81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
15,15,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,pseudoplatanus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20 to 97,50 to 71,#N/A,#N/A,24 to 37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
16,16,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,rubrum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
17,17,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,rubrum,#N/A,Low elevation (U),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,5,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
18,18,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,rubrum,#N/A,Low elevation (S),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,5,#N/A,#N/A,#N/A,89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
19,19,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,rubrum,#N/A,High elevation (U),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,5,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
20,20,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,rubrum,#N/A,High elevation (S),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,5,#N/A,#N/A,#N/A,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
21,21,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,saccharinum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,30,#N/A,5 to 18,3 to 13,94 to 97,#N/A,#N/A,72 to 91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
22,22,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,saccharum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2 to 3,2 to 3,#N/A,90,75,95,#N/A,#N/A,80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
23,23,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,spicatum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31,34,#N/A,#N/A,32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
24,24,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,#N/A,Pennsylvania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,30,21,#N/A,28,#N/A,#N/A,52,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
25,25,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,#N/A,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
26,26,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,fresh seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,25,25,#N/A,21,5,#N/A,28,#N/A,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
27,27,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,25,25,#N/A,21,5,#N/A,13,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
28,28,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,180,#N/A,25,25,#N/A,21,5,#N/A,35,#N/A,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
29,29,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,glutinosa,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1803,#N/A,25,25,#N/A,21,5,#N/A,46,#N/A,35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
30,30,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,#N/A,Europe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,21,21,#N/A,30,#N/A,#N/A,45,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
31,31,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,#N/A,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
32,32,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,fresh seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,25,25,#N/A,21,5,#N/A,29,#N/A,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
33,33,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,25,25,#N/A,21,5,#N/A,16,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
34,34,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,180,#N/A,25,25,#N/A,21,5,#N/A,34,#N/A,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
35,35,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana,dried seed,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1803,#N/A,25,25,#N/A,21,5,#N/A,49,#N/A,38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
36,36,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,incana ssp. tenuifolia,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,30,20,#N/A,26,13,#N/A,4,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
37,37,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rhombifolia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
38,38,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rhombifolia,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,30,20,#N/A,30,14,#N/A,59,#N/A,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
39,39,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,24,16,#N/A,7,7,#N/A,56,4,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
40,40,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,dried seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0-60,#N/A,30,20,#N/A,28,7,#N/A,71,6,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
41,41,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,30,20,#N/A,28,7,#N/A,75,6,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
42,42,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,30,20,#N/A,28,7,#N/A,72,6,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
43,43,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,30,20,#N/A,28,7,#N/A,72,6,49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
44,44,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,15,5,#N/A,56,21,#N/A,16,6,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
45,45,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,15,5,#N/A,56,21,#N/A,63,6,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
46,46,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,rubra,fresh seed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,15,5,#N/A,56,21,#N/A,80,6,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
47,47,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,serrulata,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,l,#N/A,27,23,#N/A,10,2,#N/A,36,#N/A,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
48,48,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,viridis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
49,49,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,viridis ssp. crispa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,30,20,#N/A,30 to 40,12,#N/A,28,3,28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
50,50,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-31-40\germination_table-2.csv,238,2,5,Alnus,viridis ssp. sinuata,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,30,20,#N/A,21,7,#N/A,14,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,N,#N/A,#N/A,#N/A
51,51,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-91-100\germination_table-6.csv,301,6,4,Berberis,koreana,#N/A,#N/A,Sand or perlite,#N/A,#N/A,#N/A,#N/A,#N/A,60,16,16,16,#N/A,20,6,#N/A,88,#N/A,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,N,#N/A,#N/A,#N/A
52,52,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-91-100\germination_table-6.csv,301,6,4,Berberis,thunbergii,#N/A,#N/A,Wet paper or sand,#N/A,#N/A,#N/A,#N/A,#N/A,90,#N/A,24,13,#N/A,40,#N/A,#N/A,90,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,N,#N/A,#N/A,#N/A
53,53,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-91-100\germination_table-6.csv,301,6,4,Berberis,vulgaris,#N/A,#N/A,Wet paper or sand,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,24,13,#N/A,40,#N/A,#N/A,91,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,N,#N/A,#N/A,#N/A
54,54,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-11-20\germination_table-5.csv,222,5,5,Aesculus,californica,#N/A,#N/A,Sand,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,30,20,#N/A,20,#N/A,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,N,#N/A,#N/A,#N/A
55,55,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-11-20\germination_table-5.csv,222,5,5,Aesculus,flava,#N/A,#N/A,Sand,#N/A,#N/A,#N/A,#N/A,#N/A,120,#N/A,30,20,#N/A,40,27,76,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,5,#N/A,N,#N/A,#N/A,#N/A
56,56,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-11-20\germination_table-5.csv,222,5,5,Aesculus,glabra,#N/A,#N/A,Sand,#N/A,#N/A,#N/A,#N/A,#N/A,120,#N/A,30,20,#N/A,40,#N/A,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,N,#N/A,#N/A,#N/A
57,57,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-11-20\germination_table-5.csv,222,5,5,Aesculus,glabra var. arguta,#N/A,#N/A,Sand,#N/A,#N/A,#N/A,#N/A,#N/A,120,8,24,17,#N/A,30,#N/A,76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,N,#N/A,#N/A,#N/A
