osp_sps,optimum_chilling,optimum_forcing,baskin_table
Prinsepia_sinensis,NA,NA,NA
Prinsepia_uniflora,NA,NA,NA
Prunus_padus,210,15-Oct,10.14
Prunus_pensylvanica,"120,60-90","20,30/5",10.14
Prunus_serotina,30-60,"21,10",10.14
Prunus_serrulata,NA,NA,NA
Prunus_tenella,NA,NA,NA
Ptelea_trifoliata,NA,NA,NA
Pyrus_elaeagnifolia,NA,NA,NA
Pyrus_ussuriensis,NA,NA,NA
Quercus_alba,NA,18/10,10.14
Quercus_bicolor,NA,NA,NA
Quercus_coccifera,NA,NA,NA
Quercus_ellipsoidalis,NA,NA,NA
Quercus_faginea,NA,NA,NA
Quercus_ilex,NA,NA,NA
Quercus_petraea,NA,NA,NA
Quercus_pubescens,NA,NA,NA
Quercus_robur,147,"15,20",10.14
Quercus_rubra,84,25/15,10.14
Quercus_shumardii,28-56,30/20,10.14
Quercus_velutina,90,g.h.,10.14
Rhamnus_alpina,NA,NA,NA
Rhamnus_cathartica,NA,NA,NA
Rhamnus_frangula,NA,NA,NA
Rhododendron_canadense,NA,NA,NA
Rhododendron_dauricum,NA,NA,NA
Rhododendron_mucronulatum,NA,NA,NA
Rhododendron_prinophyllum,NA,NA,NA
Ribes_alpinum,NA,NA,NA
Ribes_divaricatum,NA,NA,NA
Ribes_glaciale,NA,NA,NA
Robinia_pseudoacacia,0,"g.h,20,30/20",10.14
Rosa_hugonis,NA,NA,NA
Rosa_majalis,NA,NA,NA
Salix_gracilistyla,NA,NA,NA
Salix_repens,NA,NA,NA
Salix_smithiana,NA,NA,NA
Sambucus_pubens,NA,NA,NA
Sambucus_tigranii,NA,NA,NA
Sinowilsonia_henryi,NA,NA,NA
Sorbus_aria,NA,NA,NA
Sorbus_aucuparia,NA,NA,NA
Sorbus_commixta,NA,NA,NA
Sorbus_decora,NA,NA,NA
Sorbus_torminalis,NA,NA,NA
Spiraea_canescens,NA,NA,NA
Spiraea_chamaedryfolia,NA,NA,NA
Spiraea_japonica,NA,NA,NA
Spirea_alba,NA,NA,NA
Stachyurus_praecox,NA,NA,NA
Stachyurus_sinensis,NA,NA,NA
Symphoricarpos_albus,NA,NA,NA
Syringa_josikaea,NA,NA,NA
Syringa_reticulata,NA,NA,NA
Syringa_villosa,NA,NA,NA
Syringa_vulgaris,NA,NA,NA
Tilia_cordata,NA,NA,NA
Tilia_dasystyla,NA,NA,NA
Tilia_japonica,NA,NA,NA
Tilia_platyphyllos,NA,NA,NA
Toona_sinensis,NA,NA,NA
Ulmus_americana,NA,NA,NA
Ulmus_glabra,NA,NA,NA
Ulmus_laevis,NA,NA,NA
Ulmus_macrocarpa,NA,NA,NA
Ulmus_minor,NA,NA,NA
Ulmus_parvifolia,NA,NA,NA
Ulmus_pumila,NA,NA,NA
Ulmus_villosa,NA,NA,NA
Vaccinium_myrtilloides,NA,NA,NA
Viburnum_betulifolium,NA,NA,NA
Viburnum_buddleifolium,NA,NA,NA
Viburnum_carlesii,NA,NA,NA
Viburnum_cassinoides,NA,NA,NA
Viburnum_lantanoides,NA,NA,NA
Viburnum_opulus,NA,NA,NA
Viburnum_plicatum,NA,NA,NA
Weigela_coraeensis,NA,NA,NA
Weigela_florida,NA,NA,NA
Weigela_maximowiczii,NA,NA,NA
