"Genus_species","Dormancy.Class"
"Ceanothus impressus","PYPD"
"Ceanothus integerrimus","PYPD"
"Ceanothus ledifolius","PYPD"
"Ceanothus leudodermis","PYPD"
"Ceanothus megacarpus","PY"
"Ceanothus oliganthus","PYPD"
"Ceanothus prostratus","PYPD"
"Ceanothus sanguineus","PYPD"
"Ceanothus sorediatus","PYPD"
"Ceanothus thyrsiflorus","PYPD"
"Ceanothus velutinus","PYPD"
"Aronia melanocarpa","PD"
"Cotoneaster acutifolia","PD"
"Cotoneaster horizontalis","PD"
"Cotonester acutifolius","PD"
"Cotonester microphyllus","PD"
"Crataegus anomala","PD"
"Crataegus cordata","PD"
"Crataegus crus-galli","PD"
"Crataegus douglasii","PD"
"Crataegus flava","PD"
"Crataegus mollis","PD"
"Crataegus phaenopyrum","PD"
"Crataegus punctata","PD"
"Crataegus rivularis","PD"
"Crataegus succulenta","PD"
"Crataegus tracyi","PD"
"Malus baccata","PD"
"Malus coronaria","PD"
"Malus floribunda","PD"
"Malus fusca","PD"
"Malus ioensis","PD"
"Padus racemosa","PD"
"Prunus americana","PD"
"Prunus avium","PD"
"Prunus dulcis","PD"
"Prunus emarginata","PD"
"Prunus ilicifolia","ND"
"Prunus ilicifolia","PD"
"Prunus mahaleb","PD"
"Prunus padus","PD"
"Prunus pensylvanica","PD"
"Prunus persica","PD"
"Prunus serotina","PD"
"Prunus spinosa","PD"
"Prunus subcordata","PD"
"Prunus virginiana","PD"
"Pyrus arbutifolia","PD"
"Rubus chamaemorus","PD"
"Rubus idaeus","PD"
"Rubus spectabilis","PD"
"Sorbus aucuparia","PD"
"Acer circinatum","PD"
"Acer ginnala","PD"
"Acer glabrum","PD"
"Acer negundo","PD"
"Acer pensylvanicum","PD"
"Acer platanoides","PD"
"Acer pseudoplatanus","PD"
"Acer rubrum","PD"
"Acer saccharinum","ND"
"Acer saccharum","PD"
"Acer saccharum -grandidentatum","PD"
"Aesculus californica","ND"
"Aesculus glabra","PD"
"Aesculus hippocastanum","PD"
"Aesculus octandra","PD"
"Sarcobatus vermiculatus","PD"
"Taxus baccata","MPD"
"Taxus brevifolia","MPD"
"Taxus cuspidata","MPD"
"Sequoiadendron giganteum","ND"
"Taxodium distichum","PD"
