Species,Height at maturity  (m),Year first cultivated,Minimum seed bearing age (yr),Years between large seedcrops,pdf table number,pdf_page_number,genus name,Height at maturity (m),Years between large seed crops,Cone ripeness Pre ripe color,criteria Ripe color,Years between large crops,Fruit ripeness Preripe color,Minimum seed bearing age ((yr)s),Fruit Preripe color,ripeness criteria Ripe color,Height (m)at maturity,Minimum seed bearing age ((yr)s),Fruit Preripe,color Ripe,X (m),cultivated,age ((yr)s),crops,Ripe fruit color,Diameter,Length,Mature tree height (m),Age at onset seed bearing (yr),Years between cone crops,Mature height (m),Cone length (cm),Color of ripe cones,Age at onset seed bearing,Years large Time,between seedcrops Location,Years between seedcrops
Q. laurifolia,NA,1786,NA,I,2,933,Quercus,27,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. lobata,NA,1874,NA,03-Feb,2,933,Quercus,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. lyrata,NA,1786,NA,04-Mar,2,933,Quercus,24,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. macrocarpa,NA,1811,NA,03-Feb,2,933,Quercus,30,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. marilandica,NA,,NA,,2,933,Quercus,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. michauxii,NA,1737,NA,05-Mar,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. muehlenbergii,NA,1822,NA,,2,933,Quercus,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. nigra,NA,1723,NA,02-Jan,2,933,Quercus,24,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. pagoda,NA,1904,NA,02-Jan,2,933,Quercus,34,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. palustris,NA,1770,NA,02-Jan,2,933,Quercus,24,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. petraea,NA,Long,NA,07-May,2,933,Quercus,30,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. phellos,NA,1723,NA,I,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. prinus,NA,1688,NA,03-Feb,2,933,Quercus,24,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. robur,NA,Long,NA,04-Feb,2,933,Quercus,34,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. rubra,NA,1724,NA,05-Mar,2,933,Quercus,30,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. shumardii,NA,1907,NA,03-Feb,2,933,Quercus,34,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. sinuata,NA,,NA,,2,933,Quercus,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. stellata,NA,1819,NA,03-Feb,2,933,Quercus,18,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. suber,NA,1699,NA,04-Feb,2,933,Quercus,24,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. texana,NA,1923,NA,04-Mar,2,933,Quercus,30,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. turbinella,NA,,NA,05-Mar,2,933,Quercus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. vaccinifolia,NA,1895,NA,,2,933,Quercus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. variabilis,NA,1861,NA,2,2,933,Quercus,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. velutina,NA,1905,NA,03-Feb,2,933,Quercus,27,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. virginiana,NA,1739,NA,I,2,933,Quercus,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. wislizenii,NA,1874,NA,07-May,2,933,Quercus,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. allenghaniensis,NA,1800,40,2,3,307,Betula,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. davurica,NA,1883,NA,2,3,307,Betula,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. lenta,NA,1759,40,I-2,3,307,Betula,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. nana,NA,1880,NA,,3,307,Betula,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. nigra,NA,1736,NA,,3,307,Betula,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. papyrifera,NA,1750,15,2,3,307,Betula,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pendula,NA,Long,15,03-Feb,3,307,Betula,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. populifolia,NA,1750,8,I,3,307,Betula,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pubescens,NA,1789,15,03-Feb,3,307,Betula,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pumila,NA,1762,NA,I-2,3,307,Betula,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. angustifolia,NA,Long cultivated,>3,3,3,486,Elaeagnus,Sep-46,NA,NA,NA,NA,NA,NA,Whitish to silvery I,Silver-gray outer; emon-yellow inside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. commutata,NA,1813,,02-Jan,3,486,Elaeagnus,1.8-4.6,NA,NA,NA,NA,NA,NA,Silvery green,Silver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. umbellata,NA,1830,6,,3,486,Elaeagnus,0.9-3.7,NA,NA,NA,NA,NA,NA,"Silvery, with",Red-pink brown scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. americana,NA,1724,20,05-Mar,3,539,Fraxinus,21-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. caroliniana,NA,,NA,,3,539,Fraxinus,12-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. dipetala,NA,,NA,,3,539,Fraxinus,06-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. excelsior,NA,Long ago*,15,02-Jan,3,539,Fraxinus,29-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. latifolia,NA,,30,05-Mar,3,539,Fraxinus,18-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. nigra,NA,1800,NA,,3,539,Fraxinus,24-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. ornus,NA,pre-1700,20,,3,539,Fraxinus,20-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. pennsylvanica,NA,1824,NA,,3,539,Fraxinus,21+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. profunda,NA,,9,,3,539,Fraxinus,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. quadrangulata,NA,1823,25,04-Mar,3,539,Fraxinus,09-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. uhdei,NA,1900,15,,3,539,Fraxinus,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. velutina,NA,1900,NA,,3,539,Fraxinus,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. circinatum,NA,1826,NA,I-2,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. ginnala,NA,1860,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. glabrum var. glabrum,NA,1882,NA,I-3,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. griseum,NA,1901,NA,,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. macrophyllum,NA,1812,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. negundo,NA,1688,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. palmatum,NA,1820,NA,,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. pensylvanicum,NA,1755,NA,,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,II,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. platanoides,NA,Long ago,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. pseudoplatanus,NA,Long ago,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. rubrum,NA,1656,NA,I,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. saccharinum,NA,1725,NA,,2,205,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
