Species,Flowering,Fruit.ripening,Seed.dispersal,pdf.table.number,pdf_page_number,genus.name,Color.of.ripe.fruit,Height.of.mature.trees..m.,Year.first.cultivated,Location,Color.of.ripe.fruits,Fruit.drop,Location..altitude,Location..elevation,Height.at.maturity..m.,Growth.habit..maximum.height,Flower.color,Flowering.habit,Dispersal,Cone.ripening,Seed.ripening..dispersal,Origin,Color.of.ripe.fruit.1,Seed.size..mm.,Diam.of.ripe.fruit..mm.,Cleaned...kg.,seeds.wt...lb.,Fruit..seed.ripening,Location..elevation..m.,Tree.ht..m.,Age..yrs.,Interval..yrs.
saccharinum,Feb-May,Apr-June,Apr-June,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
saccharum,Mar-May,Sept-Oct,Oct-Dec,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spicatum,May-June,Sept-Oct,Oct-Dec,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nigra,NA,NA,NA,2,1014,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nigra spp. canadensis,June-July,July-Sept,Aug-Oct,2,1014,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nigra spp. cerulea,May-July,Aug-Sept,Aug-Oct,2,1014,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
racemosa var. racemosa,Apr-July,June-Aug,June-Nov,2,1014,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baccata,May,Aug-Oct,NA,2,714,Malus,Red or yellow,12.2,1784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coronaria,Mar-May,Sept-Nov,NA,2,714,Malus,Yellow-green,9.2,1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
floribunda,May,NA,NA,2,714,Malus,Red or yellow,3.6-10.0,1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fusca,NA,Oct-Nov,NA,2,714,Malus,Green-yellow to yellow & red,8-12.2,1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ioensis,May-June,Sept-Oct,NA,2,714,Malus,Greenish waxy,NA,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pumila,May,Aug-Oct,NA,2,714,Malus,Yellow to red,15.4,Ancient times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X robusta,Apr-May,NA,NA,2,714,Malus,Red or yellow-green,NA,1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sargentii,NA,NA,NA,2,714,Malus,Red,1.8-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allegheniensis,May-July,Aug-Sept,Aug-Sept,3,988,Rubus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
canadensis,June-July,July-Sept,July-Sept,3,988,Rubus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laciniatus,June-Aug,July-Oct,Sept-Oct,3,988,Rubus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hispidus,June-early Sept,Mid-Aug-Oct,Aug-Oct,3,988,Rubus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
procerus,June-Aug,Aug-Sept,NA,3,988,Rubus,NA,NA,NA,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ursinus,June-July,Aug-Sept,Oct-Nov,3,988,Rubus,NA,NA,NA,Pacific Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
idaeus,Late May-July,Late June-Oct,July-Oct,3,988,Rubus,NA,NA,NA,Rangewide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
occidentalis,Apr-June,June-Aug,June-Aug,3,988,Rubus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spectabilis,May-June,June-Aug,June-Aug,3,988,Rubus,NA,NA,NA,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spectabilis,Apr-May,May-July,June-July,3,988,Rubus,NA,NA,NA,Oregon-Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamaemorus,June-July,July-Aug,Aug-Sept,3,988,Rubus,NA,NA,NA,Boreal North America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
odoratus,June-Sept,July-Sept,July-Sept,3,988,Rubus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parviflorus,May-June,June-July,July-Aug,3,988,Rubus,NA,NA,NA,Pacific Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alba,May,July-Aug,NA,2,730,Morus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alba,May,June-Aug,NA,2,730,Morus,NA,NA,NA,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alba,Apr,Late May-June,NA,2,730,Morus,NA,NA,NA,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
microphylla,Apr-May,June-Aug,NA,2,730,Morus,NA,NA,NA,SW US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubra,Apr-May,June-Aug,NA,2,730,Morus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aquatica,Mar-Apr,Sept-Oct,NA,2,745,Nyssa,NA,NA,NA,NA,Dark purple,Oct-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biflora,Apr-June,Aug-Oct,NA,2,745,Nyssa,NA,NA,NA,NA,Blue-black,Sept-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ogeche,Mar-May,July-Aug,NA,2,745,Nyssa,NA,NA,NA,NA,Red,Nov-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sylvatica,Apr-June,Sept-Oct,NA,2,745,Nyssa,NA,NA,NA,NA,Blue-black,Sept-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
quinquefolia tricuspidata,June-Aug June-July,July-Oct Sept-Oct,NA,2,769,Parthenocissus,NA,NA,NA,NA,NA,Aug-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alleghaniensis,Late Apr-May,Aug-Sept,NA,2,879,Prunus,NA,NA,NA,Scattered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
americana,Mar-May,June-Oct.,June-Oct,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
angustifolia,Mar-Apr,May-July,May-July,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
armeniaca,Feb-Mar,May-June,NA,2,879,Prunus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
armeniaca,Mar-Apr,July,July-Aug,2,879,Prunus,NA,NA,NA,USSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avium,Apr-May,June-July,NA,2,879,Prunus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caroliniana,Mar-Apr,Sept-Oct,NA,2,879,Prunus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasifera,May 12t,July 15-Aug 10,NA,2,879,Prunus,NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasifera,Apr-May,Aug,NA,2,879,Prunus,NA,NA,NA,USSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasus,Apr-May,June-July,NA,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cerasus,May 8-18+,June-July,NA,2,879,Prunus,NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestica,May 12-21+,July 15-Oct I,NA,2,879,Prunus,NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestica,May,Aug,NA,2,879,Prunus,NA,NA,NA,USSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestica var. insititia,Late Apr-May,Aug-Sept,NA,2,879,Prunus,NA,NA,NA,US & Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestica var. insititia,May 16-21+,Aug 20-Oct I,NA,2,879,Prunus,NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dulcis,Mid Feb-Mar,Late Aug-Oct,NA,2,879,Prunus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
emarginata,Apr-June,July-Sept,Aug-Sept,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hortulana,Mar-May,Aug-Oct,NA,2,879,Prunus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ilicifolia,Mar-May,Sept-Oct,Oct-Dec,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laurocerasus,Apr-May,July-Aug,NA,2,879,Prunus,NA,NA,NA,SE Europe & Asia Minor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mahaleb,Apr-May,July,NA,2,879,Prunus,NA,NA,NA,NE US & SE Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maritima,Apr-June,Sept-Oct,NA,2,879,Prunus,NA,NA,NA,Maine to Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
munsoniana,Mar-May,July-Sept,NA,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
munsoniana,May 20-24-,July 15-Sept 10,NA,2,879,Prunus,NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
padus,End Apr-early May,Late June-July,NA,2,879,Prunus,NA,NA,NA,Philadelphia & vicinity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
padus,May-early June,June-Aug,Aug,2,879,Prunus,NA,NA,NA,USSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pensylvanica,Late Mar-early July,July-Sept,NA,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pensylvanica,May I-15,Late July-early,NA,2,879,Prunus,NA,NA,NA,"Warren Co., Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
persica,Apr-May,July-Sept,NA,2,879,Prunus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
persica,Feb-Apr,May-Aug,NA,2,879,Prunus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pumila,May-July,July-Sept,NA,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pumila. var. besseyi,Apr-May,July-Sept,July-Sept,2,879,Prunus,NA,NA,NA,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serotina,Early Apr,June-July,July,2,879,Prunus,NA,NA,NA,Central Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serotina,Late May-early June,Late Aug-Sept,Aug 20-Sept; rarely Nov,2,879,Prunus,NA,NA,NA,N Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serotina,Late Apr-June 10,June-Sept.,July I-Sept,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spinosa,Apr-May,Aug-Sept,Sept,2,879,Prunus,NA,NA,NA,USSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
subcordata,Mar-May,Aug-Sept,NA,2,879,Prunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tomentosa,Early May,Late July,Early Aug,2,879,Prunus,NA,NA,NA,"Cheyenne, Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tomentosa,May 10-15,July 10-15,July 15-Sept I,2,879,Prunus,NA,NA,NA,"Bismarck, N Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
umbellata,Mar-Apr,Aug-Sept,NA,2,879,Prunus,NA,NA,NA,SE United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
virginiana,Late Apr-early June,July-Oct,NA,2,879,Prunus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
virginiana,May 10-20,Early Aug,NA,2,879,Prunus,NA,NA,NA,"Warren Co., Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
virginiana,NA,Aug-Sept,NA,2,879,Prunus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aquifolium,Late Apr-early May,Late July-early Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Mineral Co., Montana (975 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aquifolium,Mar-May,Sept-Oct,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Jackson Co., Oregon (685 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fremontii,May-June,Aug-Sept,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Texas, NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fremontii,May-June,July -Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,Utah & California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
haematocarpa,Spring,June-Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,Texas & SW US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nervosa,Early Apr,Mid-Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Clackamas Co., Oregon (90 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nervosa,Mid-May,Late Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Jackson Co., Oregon (990 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nervosa,Apr-June,July-Aug,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nevinii,Mar-May,June,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
repens,May -June,June-July,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,"Black Hills, South Dakota (1,830 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
repens,Apr- May,Aug-Sept,NA,3,708,Mahonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus,NA,NA,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. albus,June I-July 31,Sept I-Oct 31,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. albus,May I-Sept 30,Aug I-Oct 31,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. albus,NA,NA,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. albus,June 5-Aug 5,Aug - Sept 5,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,700 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. laevigatus,NA,NA,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"Missoula Co., Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. laevigatus,June 20-Aug 15,Aug 15-Sept 30,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"1,000 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. laevigatus,July I-July 30,Aug 25-Sept 20,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"1,300 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. laevigatus,July 15-Aug 30,Sept 10-Oct 5,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"1,650 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albus var. laevigatus,July 25-Sept 5,Sept 25-Oct 25,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"2,000 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
occidentalis,NA,NA,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"Pennington Co., South Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
occidentalis,June I-July 31,Sept I-Oct 31,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,750 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orbiculatus,July I-Aug 31,Sept I-heavy frost,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oreophilus,NA,NA,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"Wasatch Plateau, Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oreophilus,June 17-June 26,Aug 20-Sept 18,NA,2,1079,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"2,230 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
