Publication.Type,Authors,Article.Title,Source.Title,Volume,Issue,Start.Page,Publication.Year,genus,species,accept_reject,reason_reject,language,available,paper_pulled,notes,checkedby,first,firstTemp,surname,studyID
J,"Ferreira, WR; Ranal, MA",Seed germination and seedlng growth of Brassica chinensis L. var. parachinensis (Bailey) Sinskaja (flowering white cabbage),PESQUISA AGROPECUARIA BRASILEIRA,34,3,353,1999,Brassica,chinensis,A,,,,,,HHN,"Ferreira, WR",Ferreira,ferreira,ferreira99
J,"Fetouh, M. I.; Hassan, F. A.",Seed germination criteria and seedling characteristics of Magnolia grandiflora L. trees after cold stratification treatments.,International Journal of Current Microbiology and Applied Sciences,3,3,235,2014,Magnolia,grandiflora,A,,,,,,HHN,"Fetouh, M. I.",Fetouh,fetouh,fetouh14
J,"Figueroa, JA",Seed germination in temperate rain forest species of southern Chile: chilling and gap-dependency germination,PLANT ECOLOGY,166,2,227,2003,Multiple,,A,,,,,,HHN,"Figueroa, JA",Figueroa,figueroa,figueroa03
J,"Flores, P. C.; Poggi, D.; Garcia, S. M.; Gariglio, N. F.",Topographic tetrazolium testing of Black Walnut (Juglans nigra L.) seeds,SEED SCIENCE AND TECHNOLOGY,39,1,230,2011,Juglans,nigra,A,,,,,,HHN,"Flores, P. C.",Flores,flores,flores11
J,"Forbes, Kathleen; Beardmore, Tannis",SEED STORAGE POTENTIAL FOR DWARF BIRCH (BETULA GLANDULOSA MICHX.),PROPAGATION OF ORNAMENTAL PLANTS,9,3,143,2009,Betula,glandulosa,A,,,,,,HHN,"Forbes, Kathleen",Forbes,forbes,forbes09
J,"Forbis, Tara A.",Germination phenology of some Great Basin native annual forb species,PLANT SPECIES BIOLOGY,25,3,221,2010,Multiple,,A,,,,,,HHN,"Forbis, Tara A.",Forbis,forbis,forbis10
J,"Frattaroli, Anna Rita; Di Martino, Luciano; Di Cecco, Valter; Catoni, Rosangela; Varone, Laura; Di Santo, Marco; Gratani, Loretta",Seed germination capability of four endemic species in the Central Apennines (Italy): relationships with seed size,Lazaroa,34,,43,2013,multiple,,A,,,,,,TA,"Frattaroli, Anna Rita",Frattaroli,frattaroli,frattaroli13
J,"FULBRIGHT, TE; FLENNIKEN, KS; WAGGERMAN, GL",ENHANCING GERMINATION OF SPINY HACKBERRY SEEDS,JOURNAL OF RANGE MANAGEMENT,39,6,552,1986,Celtik,palIida,A,,,,,,TA,"FULBRIGHT, TE",FULBRIGHT,fulbright,fulbright86
J,"Gajanayake, Bandara; Trader, Brian W.; Reddy, K. Raja; Harkess, Richard L.",Thermotolerance Classification of Ornamental Pepper Cultivars Using Seed Germination Traits,Seed Technology,33,2,134,2011,multiple,,A,,,,,,TA,"Gajanayake, Bandara",Gajanayake,gajanayake,gajanayake11
J,"Garruna-Hernandez, Rene; Latournerie-Moreno, Luis; Ayala-Garay, Oscar; Santamaria, Jorge M.; Pinzon-Lopez, Luis",PRE-SOWING TREATMENTS: AN OPTION TO INCREASE GERMINATION OF HABANERO PEPPER SEEDS (Capsicum chinense Jacq.),AGROCIENCIA,48,4,413,2014,Capsicum,chinese,A,,,,,accepted because of control,TA,"Garruna-Hernandez, Rene",Garruna-Hernandez,garruna-hernandez,garruna-hernandez14
J,"George, B. B.; Hamadina, E. I.",Scarification and low temperature stratification effects on germination of mature seeds of cassava (Manihot esculenta) hybrids.,International Journal of Modern Botany,10,1,15,2020,Manihot,esculenta,A,,,,,,TA,"George, B. B.",George,george,george20
J,"Gere, J.; Karidzangundi, R.; Ntuli, V.; Nyamugure, T.; Mudyiwa, S. M.; Kundhlande, A.",Filing considerably breaks seed dormancy of Berchemia discolor Hemsley.,African Journal of Plant Science,9,6,274,2015,Berchemia,discolor Hemsley,A,,,,,,TA,"Gere, J.",Gere,gere,gere15
J,"Geszprych, A.; Weglarz, Z.",Reproduction ability of Rhaponticum carthamoides (Willd.) Iljn cultivated in Poland.,Herba Polonica,48,2,61,2002,Rhaponticum,carthamoides,A,,,,,,TA,"Geszprych, A.",Geszprych,geszprych,geszprych02
J,"Ghanbari, M.; Modarres-Sanavy, S. A. M.; Mokhtassi-Bidgoli, A.",Germination characteristics and seed activity of enzymes of different landraces of Indian cheese maker (Withania coagulans) in response to sodium hypochlorite and pre-chilling.,Iranian Journal of Seed Research,5,1,Fa119,2018,Withania,coagulans,A,,,,,,TA,"Ghanbari, M.",Ghanbari,ghanbari,ghanbari18
J,"Ghimeray, Amal Kumar; Sharma, Pankaja; Shim, Ie-Sung; Park, Cheolho; 이현우; 이보덕",Effect of Storage Conditions and Scarification on in vitro Seed Germination in Lorathus tanakae Hosok,Korean Journal of Plant Reources.,27,3,263,2014,Loranthus,tanakae,A,,,,,,TA,"Ghimeray, Amal Kumar",Ghimeray,ghimeray,ghimeray14
J,"Gianni, Sergio; Aiello, Nicola; Lombardo, Gabriella Salvina; Fusani, Pietro",Seed germination requirements of Buck's beard [Aruncus dioicus (Walter) Fernald (Rosaceae)],PLANT BIOSYSTEMS,153,1,5,2019,Aruncus,dioicus Fernald,A,,,,,,TA,"Gianni, Sergio",Gianni,gianni,gianni19
J,"Gimenez-Benavides, L.; Milla, R.",Comparative germination ecology of two altitudinal vicariant Saxifraga species endemic to the north of Spain,PLANT BIOLOGY,15,3,593,2013,Saxifraga,spp.,A,,,,,,TA,"Gimenez-Benavides, L.",Gimenez-Benavides,gimenez-benavides,gimenez-benavides13
C,"Gisbert, C.; Prohens, J.; Nuez, F.",Treatments for Improving Seed Germination in Eggplant and Related Species,"V INTERNATIONAL SYMPOSIUM ON SEED, TRANSPLANT AND STAND ESTABLISHMENT OF HORTICULTURAL CROPS",898,,45,2011,Solanum,melongena,A,,,,,,GG,"Gisbert, C.",Gisbert,gisbert,gisbert11
J,"Goggans, J. F.; Jones, L.; Lynch, K. D.",Germination rate of Arizona Cypress improved by better cone collection techniques and seed pregermination treatments.,Tree Planters' Notes,25,1,3,1974,Cupressus,arizonica,A,,,,,,GG,"Goggans, J. F.",Goggans,goggans,goggans74
J,"Gokturk, A.; Olmez, Z.; Temel, F.; Yahyaoglu, Z.",Effects of some pre-treatments on germination of Russian olive (Elaeagnus angustifolia L.) seeds.,Suleyman Demirel Universitesi Orman Fakultesi Dergisi Seri A,NA,2,32,2007,Elaeagnus,angustifolia,A,,,,,,GG,"Gokturk, A.",Gokturk,gokturk,gokturk07
C,"Gonzalez-Puelles, J. E.; Landin, M.; Gallego, P. P.; Barreal, M. E.",Deciphering kiwifruit seed germination using neural network tools,IX INTERNATIONAL SYMPOSIUM ON KIWIFRUIT,1218,,359,2018,Actinidia,,A,,,,,,GG,"Gonzalez-Puelles, J. E.",Gonzalez-Puelles,gonzalez-puelles,gonzalez-puelles18
J,"Gougouli, Maria; Koutsoumanis, Konstantinos P.",Modeling germination of fungal spores at constant and fluctuating temperature conditions,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,152,3,153,2012,,,A,,,,,,GG,"Gougouli, Maria",Gougouli,gougouli,gougouli12
J,"Greenwood, ME; DuBowy, PJ","Germination characteristics of Zannichellia palustris from New South Wales, Australia",AQUATIC BOTANY,82,1,1,2005,Zannichellia,palustris,A,,,,,,GG,"Greenwood, ME",Greenwood,greenwood,greenwood05
J,"Gremer, Jennifer R.; Chiono, Alec; Suglia, Elena; Bontrager, Megan; Okafor, Lauren; Schmitt, Johanna",Variation in the seasonal germination niche across an elevational gradient: the role of germination cueing in current and future climates,AMERICAN JOURNAL OF BOTANY,107,2,350,2020,Streptanthus,tortuosus,A,,,,,,GG,"Gremer, Jennifer R.",Gremer,gremer,gremer20
R,"Gremer, Jennifer R; Wilcox, Chenoa J; Chiono, Alec; Suglia, Elena; Schmitt, Johanna",Data from: Germination timing and chilling exposure create contingency in life history and influence fitness in the native wildflower Streptanthus tortuosus,Dryad,NA,,,2019,,,A,,,,,duplicate,GG,"Gremer, Jennifer R",Gremer,gremer,gremer19
C,"Gribaudo, I.; Gambino, G.; Vallania, R.",Optimization of somatic embryogenesis in grapevine,PROCEEDINGS OF THE INTERNATIONAL WORKSHOP ON ADVANCES IN GRAPEVINE AND WINE RESEARCH,NA,754,97,2007,Vitis,,A,,,,,,GG,"Gribaudo, I.",Gribaudo,gribaudo,gribaudo07
B,"GRIBKOV, V. V.","Preparation of Siberian larch seed planting Referat. Zhur., Biol., 1959, No. 79234. (Translation)",Preparation of Siberian larch seed planting [3],NA,,6,1958,,,A,,,,,,GG,"GRIBKOV, V. V.",GRIBKOV,gribkov,gribkov58
J,"Guan, K. L.; Fan, X.; Zhen, G.",Causes of seed dormancy of Cornus officinalis and conditions for germination.,Plant Physiology Communications,NA,5,24,1989,Cornus,officinalis,A,,,,,,GG,"Guan, K. L.",Guan,guan,guan89
J,"Guenaoui, Chedia; Taoufik, Saleh Ksiksi; Smiti, Samira; Neffati, Mohamed",RESPONSE OF SEED GERMINATION OF TUNISIAN ALLIUM AMPELOPRASUM TO TEMPERATURE AND SALT STRESSES,REVUE D ECOLOGIE-LA TERRE ET LA VIE,67,4,399,2012,,,A,,,,,,GG,"Guenaoui, Chedia",Guenaoui,guenaoui,guenaoui12
J,"Guerriero, R.; Scalabrelli, G.",Effect of stratification duration on seed germination of several peach line rootstocks.,Acta Horticulturae,NA,173,185,1985,Prunus,persica,A,,,,,,DM,"Guerriero, R.",Guerriero,guerriero,guerriero85
R,"Hamala, Tuomas; Mattila, Tiina M; Leinonen, Paivi H; Kuittinen, Helmi; Savolainen, Outi",Measurements of seed germination in Arabidopsis lyrata,Dryad,NA,,,2017,Arabidopsis,lyrata,A,,,yes,,,DM,"Hamala, Tuomas",Hamala,hamala,hamala17
J,"Han, C. Y.; Long, C. L.","Dormancy, germination and storage of Magnolia ingrata seeds",SEED SCIENCE AND TECHNOLOGY,38,1,252,2010,Magnolia,ingrata,A,,,ILL needed,,,DM,"Han, C. Y.",Han,han,han10
J,Han Min; Li Ming-ming; Chen Chen; Zhang Zhi-huan; Xu Kun,Relationship between seed germination indices and seedling's chilling tolerance of tomato rootstocks,Shengtaixue Zazhi,37,3,884,2018,Solanum,lycopersicum,A,,,,,,DM,Han Min,Han Min,han,han18
J,Han Xiu-li; Jia Gui-xia,Studies on Optimal Germination Conditions of Different Cultivars and Heat-resistance Techniques for Seeds of Lilium x formolongi,Forest Research,21,5,729,2008,Lilium x,formolongi,A,,,,,,DM,Han Xiu-li,Han Xiu-li,han,han08
J,"Harrington, Timothy B.",Seed Germination and Seedling Emergence of Scotch Broom (Cytisus scoparius),WEED SCIENCE,57,6,620,2009,Cytisus,scoparius,A,,,,,,DM,"Harrington, Timothy B.",Harrington,harrington,harrington09
J,"HASKELL, G",PRESOAKING AND COLD HARDINESS IN MAIZE,PLANT AND SOIL,1,4,342,1949,Zea,mays,A,,,,,,DM,"HASKELL, G",HASKELL,haskell,haskell49
J,"Hawkins, BJ; Guest, HJ; Kolotelo, D",Freezing tolerance of conifer seeds and germinants,TREE PHYSIOLOGY,23,18,1237,2003,Multiple,spp.,A,,,,,,DM,"Hawkins, BJ",Hawkins,hawkins,hawkins03
J,"Hawkins, Tracy S.",Regulating acorn germination and seedling emergence in Quercus pagoda (Raf.) as it relates to natural and artificial regeneration,NEW FORESTS,50,3,425,2019,Quercus,pagoda,A,,,,,,DM,"Hawkins, Tracy S.",Hawkins,hawkins,hawkins19
J,"He, Lanlan; Jaganathan, Ganesh K.; Liu, Baolin",Morphophysiological dormancy and germination ecology in diaspores of the subtropical palm Phoenix canariensis,BOTANY,100,4,367,2022,Phoenix,canariensis,A,,,,,,DM,"He, Lanlan",He,he,he22
J,"He, T.; Jia, J. F.",Breaking dormancy in seeds of Anisodus tanguticus: an endangered medicinal herb of high altitude in the Qinghai-Tibet Plateau,SEED SCIENCE AND TECHNOLOGY,37,1,229,2009,Anisodus,tanguticus,A,,,,,,DM,"He, T.",He,he,he09
J,"Hernandez-Verdugo, Sergio; Lopez-Espana, Ricardo G.; Porras, Flor; Parra-Terraza, Saul; Villarreal-Romero, Manuel; Osuna-Enciso, Tomas",VARIATION IN GERMINATION AMONG POPULATIONS AND PLANTS OF WILD CHILI PEPPER,AGROCIENCIA,44,6,667,2010,Capsicum annuum,var. glabriusculum,A,,,,,,DM,"Hernandez-Verdugo, Sergio",Hernandez-Verdugo,hernandez-verdugo,hernandez-verdugo10
J,"Herron, H; Clemens, J",Seed dormancy and germination in Melicytus ramiflorus (Violaceae),NEW ZEALAND JOURNAL OF BOTANY,39,2,245,2001,Melicytus,ramiflorus,A,,,,,,DM,"Herron, H",Herron,herron,herron01
J,"Hodges, Joshua A.; Price, Jodi N.; Nimmo, Dale G.; Guja, Lydia K.",Evidence for direct effects of fire-cues on germination of some perennial forbs common in grassy ecosystems,AUSTRAL ECOLOGY,44,7,1271,2019,Multiple,spp.,A,,,,,,DM,"Hodges, Joshua A.",Hodges,hodges,hodges19
C,"Honsova, H.; Chladkova, P.; Grbavcic, M.; Stolcova, M.",POSSIBILITIES OF GERMINATION INCREASING OF ECHINACEA GENUS SEED BY STRATIFICATION,"PROCEEDINGS OF XVITH INTERNATIONAL CONFERENCE ON CURRENT ISSUES OF CULTIVATION, MANUFACTURING AND USAGE OF MEDICINAL, AROMATIC AND SPICY PLANTS",NA,,147,2010,Echinacea,spp.,A,,,,,,DM,"Honsova, H.",Honsova,honsova,honsova10
J,"Houskova, Katerina; Kleparnik, Jan; Mauer, Oldrich",How to accelerate the germination of Scots pine and Norway spruce seeds?,JOURNAL OF FOREST SCIENCE,67,3,134,2021,Multiple,spp.,A,,,,,,DM,"Houskova, Katerina",Houskova,houskova,houskova21
J,"Hsieh, Tung-Yu; Nee, Cheng-Chu; Chien, Ching-Te",Seed germination of Taiwanese Actinidia latifolia (Gardn. & Champ.) Merr.,Taiwan Journal of Forest Science,19,2,173,2004,Actinidia,latifolia,A,,,,,,DM,"Hsieh, Tung-Yu",Hsieh,hsieh,hsieh04
J,"Hsu, F. H.",Germination of forage and native grass species in Taiwan.,Taiwan Livestock Research,19,2,87,1986,Multiple,spp.,A,,,,,,DM,"Hsu, F. H.",Hsu,hsu,hsu86
J,"Hsu, F.-H.",Effects of temperature on seed germination and field emergence of warm-season forage grasses.,Tropical plants,NA,,63,1984,Multple,spp.,A,,,,,,DM,"Hsu, F.-H.",Hsu,hsu,hsu84
J,"HSU, FH; NELSON, CJ; MATCHES, AG",TEMPERATURE EFFECTS ON GERMINATION OF PERENNIAL WARM-SEASON FORAGE GRASSES,CROP SCIENCE,25,2,215,1985,Multiple,spp.,A,,,Yes,,,DM,"HSU, FH",HSU,hsu,hsu85
J,"Hu, Guanghui; Li, Zhao; Lu, Yuncai; Li, Chunxia; Gong, Shichen; Yan, Shuqin; Li, Guoliang; Wang, Mingquan; Ren, Honglei; Guan, Haitao; Zhang, Zhengwei; Qin, Dongling; Chai, Mengzhu; Yu, Juping; Li, Yu; Yang, Deguang; Wang, Tianyu; Zhang, Zhiwu",Genome-wide association study Identified multiple Genetic Loci on Chilling Resistance During Germination in Maize,SCIENTIFIC REPORTS,7,,,2017,Zea,mays,A,,,,,,DM,"Hu, Guanghui",Hu,hu,hu17
J,"Hu, Ke; Li, Guang-Lai; Li, Juan; Wang, De-Qun",[Influence of storage conditions on the seed development of Corydalis yanhusuo].,Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials,35,7,1022,2012,Corydalis,yanhusuo,A,,,,,,DM,"Hu, Ke",Hu,hu,hu12
J,"Huang, Wei; Chen, Kaining; Shi, Xian; Ren, Kuixiao; Li, Wenchao",The contribution of seeds to the recruitment of a Nymphoides peltata population,LIMNOLOGICA,44,,1,2014,Nymphoides,peltata,A,,,,,,DM,"Huang, Wei",Huang,huang,huang14
J,"Hudson, Jessica J.; Degenhardt, Dani",Stratification of beaked hazelnut (Corylus cornuta) seed improves germination,SEED SCIENCE AND TECHNOLOGY,48,3,401,2020,Corylus,cornuta,A,,,,,,DM,"Hudson, Jessica J.",Hudson,hudson,hudson20
J,"Hugo, E.; Saayman-Du Toit, A. E. J.; Reinhardt, C. F.",Germination characteristics of the grass weed Digitaria nuda (Schumach.),SOUTH AFRICAN JOURNAL OF BOTANY,90,,52,2014,Digitaria,nuda,A,,,,,,DM,"Hugo, E.",Hugo,hugo,hugo14
J,"Hwang, I. T.; Choi, J. S.; Kuack, H. H.; Kim, J. S.; Lee, H. J.; Cho, K. Y.","Seed germination, seedling growth, and herbicidal responses of Bidens tripartita L.",Korean Journal of Weed Science,16,2,114,1996,Bidens,tripartita L.,A,,,,,,DM,"Hwang, I. T.",Hwang,hwang,hwang96
J,"Ikeda, H; Itoh, K",Germination and water dispersal of seeds from a threatened plant species Penthorum chinense,ECOLOGICAL RESEARCH,16,1,99,2001,Penthorum,chinense,A,,,,,,DM,"Ikeda, H",Ikeda,ikeda,ikeda01
J,"Irvani, N.; Solouki, M.; Omidi, M.; Saidi, A.; Zare, A. R.","Seed germination and dormancy breaking in Dorema ammoniacum D., an endangered medicinal plant.",Trakia Journal of Sciences,10,1,9,2012,Dorema,ammoniacum D.,A,,,,,,DM,"Irvani, N.",Irvani,irvani,irvani12
J,"Jang, Gyeong Ho; Chung, Jae Min; Rhie, Yong Ha; Lee, Seung Youn",Seed Dormancy Class and Ecophysiological Features of Veronicastrum sibiricum (L.) Pennell (Scrophulariaceae) Native to the Korea Peninsula,PLANTS-BASEL,11,2,,2022,Veronicastrum,sibiricum,A,,,,,,DM,"Jang, Gyeong Ho",Jang,jang,jang22
J,"Javanmard, T.; Zamani, Z.; Afshar, R. Keshavarz; Hashemi, M.; Struik, P. C.","Seed washing, exogenous application of gibberellic acid, and cold stratification enhance the germination of sweet cherry (Prunus avium L.) seed",JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,89,1,74,2014,Prunus,avium,A,,,,,,TA,"Javanmard, T.",Javanmard,javanmard,javanmard14
C,"Jensen, M",Moisture content controls the effectiveness of dormancy breakage in Abies nordmanniana (Steven) spach seeds,BASIC AND APPLIED ASPECTS OF SEED BIOLOGY,30,,181,1997,Abies,nordmanniana,A,,,,,,TA,"Jensen, M",Jensen,jensen,jensen97
J,"Jensen, Martin; Kristiansen, Kell",REMOVAL OF DISTAL PART OF COTYLEDONS OR SOAKING IN BAP OVERCOMES EMBRYONIC DORMANCY IN SOUR CHERRY,PROPAGATION OF ORNAMENTAL PLANTS,9,3,135,2009,Prunus,cerasus,A,,,,,,TA,"Jensen, Martin",Jensen,jensen,jensen09
J,"Jeon, Seung-Ho; Kim, Seokhyeon; ChungJongIl; SangInShim; 류영섭; 김민철; 손다니엘",Effect of Presowing Seed Treatments on Germination and Seedling Emergence in Taraxacum platycarpum,KOREAN JOURNAL OF MEDICINAL CROP SCIENCE,18,1,9,2010,Taraxacum,platycarpum,A,,,,,,TA,"Jeon, Seung-Ho",Jeon,jeon,jeon10
J,"Ji, Wei; Li, Zhiqian; Yao, Wenkong; Jong, Peijie; Wang, Yuejin",Abnormal Seedlings Emerged during Embryo Rescue and Its Remedy for Seedless Grape Breeding,KOREAN JOURNAL OF HORTICULTURAL SCIENCE & TECHNOLOGY,31,4,483,2013,seedless grape,,A,,,,,,TA,"Ji, Wei",Ji,ji,ji13
J,"Jiang, HY; Howell, GS",Applying chlorophyll fluorescence technique to cold hardiness studies of grapevines,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,53,3,210,2002,Vitis,labruscana,A,,,,,,TA,"Jiang, HY",Jiang,jiang,jiang02
J,Jin Yaqin; Li Donglin; Huang Xuefang,Dynamic Variation Characteristic of Endogenous Hormone Content in Cornus macrophylla Seeds during Cold Stratification,ACTA BOTANICA BOREALI-OCCIDENTALIA SINICA,34,11,2255,2014,Cornus,macrophylla,A,,,,,,TA,Jin Yaqin,Jin Yaqin,jin,jin14
J,"Jiro, Otsubo; Shigeru, Mariko; Ichiroku, Hayashi","Factors affecting the vertical distribution of Betula platyphylla var. japonica and Betula ermanii on Mt. Neko in Nagano Prefecture, Japan",Journal of Ecology and Field Biology,33,2,121,2010,Betula,spp.,A,,,,,,TA,"Jiro, Otsubo",Jiro,jiro,jiro10
J,"Jo, J. S.; Won, J. Y.; Kang, H. K.",Studies on the germination of Korean ginseng (Panax ginseng C. A. Meyer) seed. I. Influences of non-stratification of seed on embryo growth and germination.,Korean Journal of Crop Science,33,1,54,1988,Panax,ginseng,A,,,,,,TA,"Jo, J. S.",Jo,jo,jo88
J,"Jolliff, G. D.; Seddigh, M.; Franz, R. E.",Seed germination and dormancy of new meadowfoam (Limnanthes spp.) genotypes.,Industrial Crops and Products,2,3,179,1994,Limnanthes,spp.,A,,,,,,TA,"Jolliff, G. D.",Jolliff,jolliff,jolliff94
J,"Jones, S. K.; Gosling, P. G.",Target moisture content prechill overcomes the dormancy of temperate conifer seeds,New Forests,8,4,309,1994,multiple,,A,,,,,,TA,"Jones, S. K.",Jones,jones,jones94
J,"Joshi, M; Dhar, U",Effect of various presowing treatments on seed germination of Heracleum candicans Wall. ex DC.: a high value medicinal plant,SEED SCIENCE AND TECHNOLOGY,31,3,737,2003,Heracleum,candicans,A,,,,,,TA,"Joshi, M",Joshi,joshi,joshi03
J,"Jusung, Cho，; HEE, LEE CHEOL; 권혁준",Seed Germination and Dormancy Breaking of Thalictrum rochebrunianum var. grandisepalum (H. Lev.) Nakai,Korean Journal of Plant Reources.,29,3,339,2016,Thalictrum,rochebrunianum,A,,,,,,TA,"Jusung, Cho，",Jusung,jusung,jusung16
J,"Kalimuthu, K.; Lakshmanan, K. K.",Effect of different treatments on pod germination of Pterocarpus species.,Indian Journal of Forestry,18,2,104,1995,Pterocarpus,spp.,A,,,,,,TA,"Kalimuthu, K.",Kalimuthu,kalimuthu,kalimuthu95
